Semana,Holandesa,Jersey,Gir
1,10.00,8.00,6.40
2,15.00,12.00,9.60
3,20.00,16.00,12.80
4,25.00,20.00,16.00
5,28.00,22.40,17.92
6,30.00,24.00,19.20
7,36.00,28.80,23.04
8,40.00,32.00,25.60
9,42.00,33.60,26.88
10,44.00,35.20,28.16
11,45.00,36.00,28.80
12,46.00,36.80,29.44
13,45.00,36.00,28.80
14,44.50,35.60,28.48
15,43.50,34.80,27.84
16,43.00,34.40,27.52
17,42.00,33.60,26.88
18,41.00,32.80,26.24
19,40.00,32.00,25.60
20,39.00,31.20,24.96
21,38.00,30.40,24.32
22,37.00,29.60,23.68
23,36.00,28.80,23.04
24,34.90,27.92,22.34
25,33.80,27.04,21.63
26,32.70,26.16,20.93
27,31.60,25.28,20.22
28,30.50,24.40,18.72
29,29.40,23.52,17.22
30,28.30,22.64,15.72
31,27.20,21.76,14.22
32,26.10,20.88,12.72
33,25.00,20.00,11.22
34,23.90,19.12,9.72
35,22.80,18.24,8.22
36,21.70,17.36,6.72
37,20.60,16.48,5.22
38,19.50,15.60,0.00
39,18.40,14.72,0.00
40,17.30,13.84,0.00
41,16.20,12.96,0.00
42,15.10,12.08,0.00
43,14.00,11.20,0.00
44,12.90,10.32,0.00
