,Period,Revenue,Sales_quantity,Average_cost,The_average_annual_payroll_of_the_region
0,2015-01-01,16010072.1195,12729.0,1257.7635,30024676.0
1,2015-02-01,15807587.449808,11636.0,1358.507,30024676.0
2,2015-03-01,22047146.023644,15922.0,1384.697,30024676.0
3,2015-04-01,18814583.29428,15227.0,1235.6067,30024676.0
4,2015-05-01,14021479.611678,8620.0,1626.6217,30024676.0
5,2015-06-01,16783928.522112,13160.0,1275.3745,30024676.0
6,2015-07-01,19161892.194872,17254.0,1110.5768,30024676.0
7,2015-08-01,15204984.296742,8642.0,1759.4288,30024676.0
8,2015-09-01,20603939.9751,16144.0,1276.2599,30024676.0
9,2015-10-01,20992874.780136,18135.0,1157.5889,30024676.0
10,2015-11-01,14993369.65763,10841.0,1383.0245,30024676.0
11,2015-12-01,27791807.639848,22113.0,1256.8086,30024676.0
12,2016-01-01,28601586.496,15365.0,1861.4766,27828571.0
13,2016-02-01,22367074.065584,13153.0,1700.5303,27828571.0
14,2016-03-01,29738608.568,18339.0,1621.6047,27828571.0
15,2016-04-01,28351007.9388,13909.0,2038.321,27828571.0
16,2016-05-01,15264603.734865,8553.0,1784.7075,27828571.0
17,2016-06-01,24385658.077056,15101.0,1614.8373,27828571.0
18,2016-07-01,29486517.069955,15695.0,1878.7205,27828571.0
19,2016-08-01,15270117.2565,8314.0,1836.6752,27828571.0
20,2016-09-01,36141027.562,17764.0,2034.5095,27828571.0
21,2016-10-01,27915143.655,18969.0,1471.6191,27828571.0
22,2016-11-01,21272049.3454,13433.0,1583.5665,27828571.0
23,2016-12-01,42014159.88396,27029.0,1554.4104,27828571.0
24,2017-01-01,36007380.67,16889.0,2132.002,27406473.0
25,2017-02-01,30396775.3784,15864.0,1916.0852,27406473.0
26,2017-03-01,47678130.72603,22786.0,2092.431,27406473.0
27,2017-04-01,27013964.728324,17910.0,1508.3174,27406473.0
28,2017-05-01,24948844.698,10777.0,2315.0083,27406473.0
29,2017-06-01,31101345.543,18799.0,1654.4149,27406473.0
30,2017-07-01,33848822.228544,17899.0,1891.1013,27406473.0
31,2017-08-01,16454666.958,9649.0,1705.3236,27406473.0
32,2017-09-01,31650092.652,20159.0,1570.023,27406473.0
33,2017-10-01,31572205.6224,19519.0,1617.5115,27406473.0
34,2017-11-01,22446371.0268,15360.0,1461.3523,27406473.0
35,2017-12-01,44966125.7696,30833.0,1458.3766,27406473.0
36,2018-01-01,44067520.858,19812.0,2224.2844,28197847.0
37,2018-02-01,36020287.1553,18424.0,1955.0742,28197847.0
38,2018-03-01,46995990.4125,29004.0,1620.3279,28197847.0
39,2018-04-01,35536487.6848,22033.0,1612.8756,28197847.0
40,2018-05-01,29699599.176,14959.0,1985.4,28197847.0
41,2018-06-01,33261065.3886,23067.0,1441.9329,28197847.0
42,2018-07-01,35826534.9072,18397.0,1947.4117,28197847.0
43,2018-08-01,23268655.2112,12045.0,1931.8103,28197847.0
44,2018-09-01,35423489.85,23358.0,1516.5464,28197847.0
45,2018-10-01,39831565.6974,22644.0,1759.0339,28197847.0
46,2018-11-01,32999145.2096,19765.0,1669.5747,28197847.0
47,2018-12-01,47221828.2018,33207.0,1422.0444,28197847.0
48,2019-01-01,36459960.091485,24096.0,1513.1125,29878525.0
49,2019-02-01,36546498.663015,21624.0,1690.0896,29878525.0
50,2019-03-01,54198706.7196,33379.0,1623.7367,29878525.0
51,2019-04-01,32743989.6056,22265.0,1470.6486,29878525.0
52,2019-05-01,32531657.5397,16967.0,1917.3489,29878525.0
53,2019-06-01,47709701.6346,24958.0,1911.5996,29878525.0
54,2019-07-01,45992141.57398,21917.0,2098.4688,29878525.0
55,2019-08-01,36933665.022,14431.0,2559.3281,29878525.0
56,2019-09-01,48526260.1344,23253.0,2086.8816,29878525.0
57,2019-10-01,44160416.1824,26603.0,1659.9788,29878525.0
58,2019-11-01,36374956.4944,21987.0,1654.3846,29878525.0
59,2019-12-01,58756473.6608,38069.0,1543.4204,29878525.0
60,2020-01-01,56288300.87,27184.0,2070.6409,29044998.0
61,2020-02-01,40225243.264,23509.0,1711.0571,29044998.0
62,2020-03-01,50022165.2325,32569.0,1535.8827,29044998.0
63,2020-04-01,52320692.9428,26615.0,1965.8348,29044998.0
64,2020-05-01,-1.0,-1.0,-1.0,-1.0
65,2020-06-01,-1.0,-1.0,-1.0,-1.0
66,2020-07-01,-1.0,-1.0,-1.0,-1.0
67,2020-08-01,-1.0,-1.0,-1.0,-1.0
68,2020-09-01,-1.0,-1.0,-1.0,-1.0
69,2020-10-01,-1.0,-1.0,-1.0,-1.0
70,2020-11-01,-1.0,-1.0,-1.0,-1.0
71,2020-12-01,-1.0,-1.0,-1.0,-1.0
72,2021-01-01,-1.0,-1.0,-1.0,-1.0
73,2021-02-01,-1.0,-1.0,-1.0,-1.0
74,2021-03-01,-1.0,-1.0,-1.0,-1.0
75,2021-04-01,-1.0,-1.0,-1.0,-1.0
76,2021-05-01,-1.0,-1.0,-1.0,-1.0
77,2021-06-01,-1.0,-1.0,-1.0,-1.0
78,2021-07-01,-1.0,-1.0,-1.0,-1.0
