,Period,Revenue,Sales_quantity,Average_cost,The_average_annual_payroll_of_the_region
0,2015-01-01,16010100.0,12729.0,1257.76,30024700.0
1,2015-02-01,15807600.0,11636.0,1358.51,30024700.0
2,2015-03-01,22047100.0,15922.0,1384.7,30024700.0
3,2015-04-01,18814600.0,15227.0,1235.61,30024700.0
4,2015-05-01,14021500.0,8620.0,1626.62,30024700.0
5,2015-06-01,16783900.0,13160.0,1275.37,30024700.0
6,2015-07-01,19161900.0,17254.0,1110.58,30024700.0
7,2015-08-01,15205000.0,8642.0,1759.43,30024700.0
8,2015-09-01,20603900.0,16144.0,1276.26,30024700.0
9,2015-10-01,20992900.0,18135.0,1157.59,30024700.0
10,2015-11-01,14993400.0,10841.0,1383.02,30024700.0
11,2015-12-01,27791800.0,22113.0,1256.81,30024700.0
12,2016-01-01,28601600.0,15365.0,1861.48,27828600.0
13,2016-02-01,22367100.0,13153.0,1700.53,27828600.0
14,2016-03-01,29738600.0,18339.0,1621.6,27828600.0
15,2016-04-01,28351000.0,13909.0,2038.32,27828600.0
16,2016-05-01,15264600.0,8553.0,1784.71,27828600.0
17,2016-06-01,24385700.0,15101.0,1614.84,27828600.0
18,2016-07-01,29486500.0,15695.0,1878.72,27828600.0
19,2016-08-01,15270100.0,8314.0,1836.68,27828600.0
20,2016-09-01,36141000.0,17764.0,2034.51,27828600.0
21,2016-10-01,27915100.0,18969.0,1471.62,27828600.0
22,2016-11-01,21272000.0,13433.0,1583.57,27828600.0
23,2016-12-01,42014200.0,27029.0,1554.41,27828600.0
24,2017-01-01,36007400.0,16889.0,2132.0,27406500.0
25,2017-02-01,30396800.0,15864.0,1916.09,27406500.0
26,2017-03-01,47678100.0,22786.0,2092.43,27406500.0
27,2017-04-01,27014000.0,17910.0,1508.32,27406500.0
28,2017-05-01,24948800.0,10777.0,2315.01,27406500.0
29,2017-06-01,31101300.0,18799.0,1654.41,27406500.0
30,2017-07-01,33848800.0,17899.0,1891.1,27406500.0
31,2017-08-01,16454700.0,9649.0,1705.32,27406500.0
32,2017-09-01,31650100.0,20159.0,1570.02,27406500.0
33,2017-10-01,31572200.0,19519.0,1617.51,27406500.0
34,2017-11-01,22446400.0,15360.0,1461.35,27406500.0
35,2017-12-01,44966100.0,30833.0,1458.38,27406500.0
36,2018-01-01,44067500.0,19812.0,2224.28,28197800.0
37,2018-02-01,36020300.0,18424.0,1955.07,28197800.0
38,2018-03-01,46996000.0,29004.0,1620.33,28197800.0
39,2018-04-01,35536500.0,22033.0,1612.88,28197800.0
40,2018-05-01,29699600.0,14959.0,1985.4,28197800.0
41,2018-06-01,33261100.0,23067.0,1441.93,28197800.0
42,2018-07-01,35826500.0,18397.0,1947.41,28197800.0
43,2018-08-01,23268700.0,12045.0,1931.81,28197800.0
44,2018-09-01,35423500.0,23358.0,1516.55,28197800.0
45,2018-10-01,39831600.0,22644.0,1759.03,28197800.0
46,2018-11-01,32999100.0,19765.0,1669.57,28197800.0
47,2018-12-01,47221800.0,33207.0,1422.04,28197800.0
48,2019-01-01,36460000.0,24096.0,1513.11,29878500.0
49,2019-02-01,36546500.0,21624.0,1690.09,29878500.0
50,2019-03-01,54198700.0,33379.0,1623.74,29878500.0
51,2019-04-01,32744000.0,22265.0,1470.65,29878500.0
52,2019-05-01,32531700.0,16967.0,1917.35,29878500.0
53,2019-06-01,47709700.0,24958.0,1911.6,29878500.0
54,2019-07-01,45992100.0,21917.0,2098.47,29878500.0
55,2019-08-01,36933700.0,14431.0,2559.33,29878500.0
56,2019-09-01,48526300.0,23253.0,2086.88,29878500.0
57,2019-10-01,44160400.0,26603.0,1659.98,29878500.0
58,2019-11-01,36375000.0,21987.0,1654.38,29878500.0
59,2019-12-01,58756500.0,38069.0,1543.42,29878500.0
60,2020-01-01,56288300.0,27184.0,2070.64,29045000.0
61,2020-02-01,40225200.0,23509.0,1711.06,29045000.0
62,2020-03-01,50022200.0,32569.0,1535.88,29045000.0
63,2020-04-01,52320700.0,26615.0,1965.83,29045000.0
64,2020-05-01,-1.0,-1.0,-1.0,-1.0
65,2020-06-01,-1.0,-1.0,-1.0,-1.0
66,2020-07-01,-1.0,-1.0,-1.0,-1.0
67,2020-08-01,-1.0,-1.0,-1.0,-1.0
68,2020-09-01,-1.0,-1.0,-1.0,-1.0
69,2020-10-01,-1.0,-1.0,-1.0,-1.0
70,2020-11-01,-1.0,-1.0,-1.0,-1.0
71,2020-12-01,-1.0,-1.0,-1.0,-1.0
72,2021-01-01,-1.0,-1.0,-1.0,-1.0
73,2021-02-01,-1.0,-1.0,-1.0,-1.0
